files,data_level
HRR025082_r2.fq.gz,1
HRR025083_f1.fq.gz,1
HRR025083_r2.fq.gz,1
HRR025084_f1.fq.gz,1
HRR025084_r2.fq.gz,1
HRR025085_f1.fq.gz,1
HRR025085_r2.fq.gz,1
HRR025086_f1.fq.gz,1
HRR025086_r2.fq.gz,1
HRR025087_f1.fq.gz,1
HRR025087_r2.fq.gz,1
HRR025088_f1.fq.gz,1
HRR025088_r2.fq.gz,1
HRR025089_f1.fq.gz,1
HRR025089_r2.fq.gz,1
HRR025090_f1.fq.gz,1
HRR025090_r2.fq.gz,1
HRR025091_f1.fq.gz,1
HRR025091_r2.fq.gz,1
HRR025092_f1.fq.gz,1
HRR025092_r2.fq.gz,1
HRR025093_f1.fq.gz,1
HRR025093_r2.fq.gz,1
HRR025094_f1.fq.gz,1
HRR025094_r2.fq.gz,1
HRR025095_f1.fq.gz,1
