files,modal
HRR067488.bam::NOT_FOUND,WES
HRR067489.bam::NOT_FOUND,WES
HRR067490.bam::NOT_FOUND,WES
HRR067491.bam::NOT_FOUND,WES
HRR067492.bam::NOT_FOUND,WES
HRR067493.bam::NOT_FOUND,WES
HRR067494.bam::NOT_FOUND,WES
HRR067495.bam::NOT_FOUND,WES
HRR067496.bam::NOT_FOUND,WES
HRR067497.bam::NOT_FOUND,WES
HRR067498.bam::NOT_FOUND,WES
HRR067499.bam::NOT_FOUND,WES
HRR067500.bam::NOT_FOUND,WES
HRR067501.bam::NOT_FOUND,WES
HRR067502.bam::NOT_FOUND,WES
HRR067503.bam::NOT_FOUND,WES
HRR067504.bam::NOT_FOUND,WES
HRR067505.bam::NOT_FOUND,WES
HRR067506.bam::NOT_FOUND,WES
HRR067507.bam::NOT_FOUND,WES
